country,city,population,id,avg-temp
Armenia,Dilijan,null,2079,47.95
Argentina,Bariloche,158989,858,47.38
Algeria,Oran,null,1361,64.18
China,Zunyi,691694,1874,60.79
El Salvador,San Miguel,283264,1188,83.34
Iran (Islamic Republic of),Birjand,203636,1445,61.64
Costa Rica,Liberia,null,1124,81.55
Iraq,Baghdad,3841268,1464,72.93
United States of America,Dover-Delaware,null,1975,56.80
United States of America,Ketchikan-Alaska,null,1997,45.07
Saudi Arabia,Tabouk,null,697,71.92
United States of America,Greensboro-North Carolina,298263,767,57.75
Spain,Segovia,null,1787,54.30
Greece,Mytilini,null,2285,63.10
United States of America,Dallas Ft Worth-Texas,1288457,745,66.20
United Kingdom of Great Britain and Northern Ireland,Isle of Man,null,1374,49.53
Burundi,Rwegura,null,1525,60.58
Panama,David,null,1241,80.70
Rwanda,Rusizi,null,1508,68.69
Guyana,Lethem,null,1493,82.05
Senegal,Ziguinchor,337295,2932,82.20
Mexico,Mazatlan,515432,1289,75.33
Australia,Ipswich,null,419,67.77
Greece,Kefalhnia,null,2282,63.72
Cyprus,Paphos Airport,null,1442,67.50
Romania,Constanta,297503,2092,54.20
Mexico,Los Cabos,null,1204,74.53
Türkiye,Mugla,null,1366,59.48
United States of America,Philadelphia-Pennsylvania,1576251,805,55.82
Russian Federation,Petrozavodsk,267102,968,36.48
Bangladesh,Barishal,null,1168,78.34
China,Baoji,600377,1832,57.16
Hungary,Nagykanizsa,null,3012,50.73
Ireland,Shannon Airport,null,329,51.33
Iraq,Amarah,null,1463,76.71
United States of America,Norman-Oklahoma,128097,2017,60.16
Indonesia,Denpasar,788589,649,82.51
Iran (Islamic Republic of),Shahrekord,null,1459,53.60
South Africa,Polokwane,null,2989,65.51
China,Shihezi,590115,1855,45.39
Netherlands,Maastricht,122397,147,49.72
Mozambique,Pemba,null,120,77.84
Australia,Whitemark,null,1747,56.94
Azerbaijan,Lenkaran,null,20,57.83
Saudi Arabia,Riyadh,5188286,216,77.90
Spain,Barcelona,1650457,1232,60.92
Russian Federation,Stavropol',null,1028,49.68
Venezuela-Bolivarian Republic of,Guanare,160234,2056,80.48
Finland,Helsinki-Vantaa,656920,168,40.65
Russian Federation,Tomsk,565000,1006,33.06
Montenegro,Podgorica,185937,1378,60.12
Australia,Singleton,null,1322,64.77
Australia,Cygnet,null,1808,52.84
Australia,Katanning,null,424,60.58
Mongolia,Tosontsengel,null,1136,16.31
Mexico,Monterrey,5603789,1208,72.23
Russian Federation,Moscow,null,206,41.15
Australia,Parramatta,null,1313,63.91
Brazil,Manaus,1792881,1073,81.21
Canada,Inuvik-Northwest Territories,null,643,16.28
China,Xining,854466,545,44.34
Mongolia,Sukhbaatar,null,1146,34.09
Spain,Badajoz,150797,1758,62.68
Viet Nam,Da Nang,null,656,80.25
South Sudan,Malakal,null,1540,82.71
Australia,Laverton [WA],null,436,68.44
Australia,Murray Bridge,null,465,61.62
United States of America,Fort Collins-Colorado,168538,1977,48.86
United States of America,Rochester-New York,121465,818,48.15
Norway,Oslo,681067,21,42.77
United Kingdom of Great Britain and Northern Ireland,Jersey,null,1372,53.17
United States of America,Minneapolis-Minnesota,425336,276,46.16
Slovenia,Novo Mesto,null,1924,50.33
Papua New Guinea,Goroka,null,1427,69.88
Australia,Grafton,null,409,67.80
Australia,Strathgordon,null,1824,50.40
Canada,Lethbridge-Alberta,101799,627,42.16
Colombia,Pasto,352326,878,55.89
Malaysia,Langkawi,null,85,82.68
United States of America,Lowell-Massachusetts,113994,2002,48.38
Dominican Republic,La Romana,130426,593,79.42
Ecuador,San Cristobal-Galapagos,null,2049,76.59
Italy,Potenza,null,1951,52.77
Nigeria,Sokoto,329639,2051,84.09
United States of America,Brownsville-Texas,187831,727,74.46
Russian Federation,Pskov,205062,976,41.08
Slovakia,Lucenec,null,1226,50.08
China,Yangquan,655317,1865,53.27
Spain,Ciudad Real,null,1764,60.01
Spain,Zamora,null,1793,55.89
Saudi Arabia,Jeddah,null,699,83.63
Ecuador,Cuenca,331888,2047,60.31
Egypt,Luxor,null,1271,77.05
Madagascar,Sambava,null,3007,76.83
China,Fuzhou,2124435,557,68.70
China,Golmud,null,1839,42.48
Australia,Gabo Island,null,1674,59.62
Australia,Brisbane Bayside,null,1192,69.36
Australia,Mount Isa,null,1705,76.38
Mozambique,Inhambane,null,126,74.80
Côte d'Ivoire,Abidjan,4395243,2876,80.43
Türkiye,Edirne,null,1364,56.61
United States of America,Kansas City-Missouri,154545,776,56.63
United States of America,Los Angeles-California,3849297,269,65.41
Republic of Korea,Daejeon,1500215,334,54.96
Mexico,Chihuahua,1018398,1279,63.98
Poland,Poznan,533773,26,48.06
Indonesia,Ujung Pandang,null,650,81.50
Canada,Edmonton-Alberta,1057181,621,36.27
China,Zhangjiakou,903348,1869,48.80
Kenya,Kisumu,397853,903,79.31
Uganda,Gulu,149802,1937,73.58
Australia,Lake Grace,null,433,62.25
Bulgaria,Sofia,1221785,303,50.10
Iran (Islamic Republic of),Orumiyeh,736224,1454,52.75
Russian Federation,Groznyj,null,1037,52.15
Spain,Ponferrada,null,2191,55.44
Venezuela-Bolivarian Republic of,Valle De La Pascua,null,2067,81.59
Italy,Ancona,100115,1942,56.50
Colombia,Bucaramanga,528855,870,71.40
United States of America,Huntsville-Alabama,216963,771,62.04
Brazil,Aracaju,571149,1060,78.43
Sweden,Norrkoping,126071,1043,45.61
Hungary,Kecskemet,110012,3011,51.84
Myanmar,Myitkyina,306949,2150,76.13
Papua New Guinea,Lae City,null,1429,80.03
Lesotho,Botha-Bothe,null,1337,58.67
Australia,Wilsons Promontory,null,1748,57.64
China,Hohhot,null,562,43.55
France,Lille,232741,1053,50.62
Vanuatu,Luganville,null,674,77.85
Myanmar,Naypyitaw,null,2151,80.51
Russian Federation,Kurgan,326729,1004,35.91
United States of America,Augusta-Georgia,201196,1958,63.88
Portugal,Faro,null,4,62.93
Fiji,Suva,74481,93,77.83
Republic of Moldova,Balti,144507,1423,48.54
Russian Federation,Astrahan',null,1026,50.60
United States of America,Burlington-Vermont,null,729,45.85
Germany,Essen,583109,1345,50.01
Mongolia,Ulaangom,null,1134,27.61
Sri Lanka,Kandy,109343,342,76.25
Zimbabwe,Kwekwe,null,951,68.28
Mongolia,Murun,null,1140,32.53
Chile,La Serena,233607,2203,57.95
Kenya,Voi,null,1800,76.88
Russian Federation,Volgograd,1018762,1022,47.15
Nepal,Dhangadhi,101970,2961,75.18
Ethiopia,Assosa,null,1918,71.33
Guyana,Georgetown,24849,289,81.05
United States of America,Chattanooga-Tennessee,182113,735,60.82
Lesotho,Leribe,null,1338,58.98
Sri Lanka,Anuradhapura,null,338,81.89
Benin,Cotonou,679012,259,88.61
Australia,Collie,null,388,59.83
Australia,Cressy,null,1669,53.42
United States of America,Agana-Guam,1051,1954,81.45
United States of America,Baltimore-Maryland,576498,720,61.34
Ireland,Wexford,null,1917,50.47
United States of America,Fargo-North Dakota,126748,756,42.25
Uruguay,Montevideo,1383964,293,62.46
Poland,Wroclaw,642473,586,48.32
Rwanda,Karongi,null,1509,68.02
United Kingdom of Great Britain and Northern Ireland,Belfast,280211,38,49.69
Romania,Iasi,318871,2094,50.75
Kenya,Lodwar,null,519,84.85
China,Guilin,804571,561,67.00
Hungary,Szombathely,null,3014,50.46
Ukraine,Uzhhorod,null,2942,51.13
United States of America,Butte-Montana,null,1965,39.85
Cameroon,Ngaoundere,152698,1514,75.52
Canada,Cranbrook-British Columbia,null,618,42.33
Portugal,Ponta Delgada,null,6,63.18
Israel,Afula,null,1929,67.77
Mozambique,Vilanculos,null,923,75.03
Malaysia,Alor Setar,138236,75,82.18
Costa Rica,Limon,100236,1119,78.56
Thailand,Chiang Rai,455732,566,76.85
United States of America,Waco-Texas,139594,842,66.56
Qatar,Ummsaid,null,1883,80.25
Germany,Bremen,569352,1342,48.55
Australia,Hay,null,1678,63.33
Mexico,Aguascalientes,1189107,1277,65.20
China,Anshan,1556285,1831,49.66
United States of America,Kenosha-Wisconsin,null,1996,47.92
Myanmar,Putao,null,2153,79.88
Cameroon,Kribi,null,1517,80.58
Australia,Echuca,null,396,60.11
Australia,Tennant Creek,null,501,78.86
Burkina Faso,Dori,21078,1529,85.23
Russian Federation,Kaliningrad,437456,977,45.32
Senegal,Podor,null,2927,85.05
Russian Federation,Syktyvkar,null,972,33.45
United States of America,New Orleans-Louisiana,376971,795,70.41
United States of America,Peoria-Illinois,194917,804,51.76
India,Kochi,633553,1599,81.03
United States of America,Abilene-Texas,125070,703,64.51
Canada,Winnipeg-Manitoba,767500,630,36.72
Côte d'Ivoire,Daloa,245360,2880,77.43
Russian Federation,Kemerovo,538188,1008,33.26
United Kingdom of Great Britain and Northern Ireland,Glasgow,1209143,1902,47.87
United States of America,Sault Ste. Marie-Michigan,null,827,41.68
Saudi Arabia,Taif,null,864,73.40
Italy,Lecce,null,2073,61.13
United States of America,Charleston-South Carolina,151612,732,66.68
Australia,Mildura,null,453,62.95
Estonia,Parnu,null,1928,43.10
Ukraine,Vinnytsia,370017,2943,47.18
Vanuatu,Sola,null,1472,79.19
Russian Federation,Jaroslavl',null,982,38.50
Australia,Sydney,248736,300,65.31
Brazil,Maceio,932078,1072,77.53
Canada,Victoria-British Columbia,94890,620,49.44
Sweden,Ostersund,null,3021,38.89
Kazakhstan,Almaty,2001059,152,48.60
Republic of Korea,Jeju,670207,337,60.00
China,Haikou,830192,559,75.98
China,Lanzhou,2087759,546,50.13
Thailand,Chiang Mai,967020,567,79.18
United States of America,Middletown-Connecticut,null,2005,51.58
Italy,Bologna,393551,1944,56.39
Canada,Quebec-Quebec,550294,635,39.26
Mauritius,Vacoas,null,1220,70.55
Australia,Roma,null,488,68.49
Australia,Goondiwindi,null,406,67.96
Spain,Valencia,794979,1238,64.91
Sri Lanka,Galle,null,340,80.10
Guinea,Kindia,138695,924,77.77
Spain,Talavera de la Reina,null,2198,59.79
Russian Federation,Tjumen',null,1001,34.76
Guinea,Siguiri,127492,931,80.58
Australia,Tatura,null,1735,58.82
Canada,Grande Prairie-Alberta,null,625,35.40
Colombia,Tumaco,null,888,79.18
Ghana,Ho,null,1381,81.82
Switzerland,Zurich,1414771,312,47.82
United States of America,Green Bay-Wisconsin,107015,766,44.17
Madagascar,Ranohira,null,3005,74.35
Serbia,Nis,254723,1389,53.12
Canada,Halifax-Nova Scotia,459938,637,43.26
Botswana,Gaborone,231592,1542,69.70
Australia,Kalumburu,null,1215,81.16
Mozambique,Nampula,303346,121,75.48
South Africa,Ladysmith,null,2985,64.52
Mexico,Cancun,997808,1209,80.79
Paraguay,Ciudad Del Este,223350,1175,72.13
United States of America,Sacramento-California,525041,820,61.00
Nepal,Birendranagar,null,2101,71.10
Ghana,Sefwi Bekwai,null,2978,81.72
Greece,Tatoi (North Attica),null,2289,60.78
Benin,Kerou,null,2211,78.91
Republic of Moldova,Cahul,null,1424,50.47
Myanmar,Taunggyi,381639,2158,67.54
Spain,Cuenca,null,1766,56.89
Ireland,Mayo,null,1915,49.05
United States of America,Dayton-Ohio,137571,746,53.98
Canada,Ottawa-Ontario,1054800,265,42.80
Australia,Maryborough,null,450,70.48
Australia,Gold Coast,635191,405,68.48
Australia,Elizabeth,null,397,62.35
Australia,Cairns,168449,299,77.15
Armenia,Vanadzor,null,67,39.49
Australia,Alyangula,null,357,80.55
Australia,Ingham,null,416,75.49
Australia,Mackay,null,443,73.28
Venezuela-Bolivarian Republic of,Puerto Ayacucho,null,2062,81.96
United States of America,Atlanta-Georgia,496461,268,62.50
Hungary,Szeged,159666,65,52.13
Papua New Guinea,Madang,null,1430,80.97
Panama,Santiago,null,1242,80.64
Brunei Darussalam,Bandar Seri Begawan,27285,95,81.58
Canada,Yellowknife-Northwest Territories,null,615,23.79
Ireland,Belmullet,null,330,50.53
Madagascar,Morondava,null,3009,78.24
Greece,Rhodes,null,2286,65.92
Russian Federation,Vladikavkaz,327448,1110,48.31
Australia,Ivanhoe,null,1318,65.34
Colombia,Lebrija,null,1645,71.42
Viet Nam,Ho Chi Minh City,null,309,84.08
Iran (Islamic Republic of),Arak,520944,1443,56.94
Australia,Point Hicks,null,1718,60.08
Egypt,Alexandria,5163750,1268,69.01
Germany,Regensburg,152610,1354,47.83
Malaysia,Kota Bharu,null,79,81.26
Kenya,Malindi,119825,1798,79.23
United States of America,Lafayette-Louisiana,121771,1998,67.56
Nepal,Jomsom,null,3509,53.00
United States of America,New York City-New York,8467513,278,54.91
Thailand,Sukhothai,166782,570,81.96
Colombia,Riohacha,177573,884,83.27
Myanmar,Monywa,372095,2149,81.73
Spain,Almeria,201037,1756,66.28
Nepal,Ghorahi,null,2962,71.13
Türkiye,Van,null,1370,48.34
Slovenia,Ratece,null,1926,43.94
South Africa,Mthatha,null,2987,64.38
Thailand,Songkhla,800970,578,82.28
Viet Nam,Lang Son,null,3031,72.18
Russian Federation,Hanty-Mansijsk,null,973,29.49
Morocco,Ouarzazate,null,3517,67.77
Sudan,Elobeid,null,1538,81.27
United Kingdom of Great Britain and Northern Ireland,Bristol,535907,1898,51.09
Iraq,Kirkuk,418624,1466,72.08
Italy,Isola d'Elba,null,2072,57.61
Lithuania,Klaipeda,149086,608,46.15
Malaysia,Melaka,63854,86,81.55
New Caledonia,Noumea,94285,296,73.61
Venezuela-Bolivarian Republic of,Maracay,419052,1198,79.98
Croatia,Rijeka,128624,72,57.29
Australia,Denham,null,1218,71.84
Jordan,Aqaba,188160,591,75.58
Venezuela-Bolivarian Republic of,Tumeremo,null,2066,80.21
Spain,Aviles,null,2886,56.26
India,Chandigarh,970602,526,74.23
Saudi Arabia,Makkah,1534731,700,88.58
Spain,Castellon de la Plana/Castello de la Plana,null,1762,64.06
Australia,Ben Lomond,null,1803,52.72
Türkiye,Ankara,null,48,53.24
United Kingdom of Great Britain and Northern Ireland,Truro,null,1911,51.54
Venezuela-Bolivarian Republic of,Guiria,null,2057,80.70
Japan,Fukuoka,1612392,185,63.00
Finland,Kuopio,120210,171,37.55
United States of America,Atlantic City-New Jersey,null,718,55.48
Ghana,Axim,null,2968,80.16
Australia,Townsville,196800,321,76.45
Australia,Wonthaggi,null,510,57.73
Colombia,Santa Marta,479853,886,82.68
Russian Federation,Dudinka,null,969,13.89
Italy,Udine,null,1953,55.53
Lithuania,Vilnius,565869,204,44.38
Russian Federation,Samara,1170485,1005,41.11
Norway,Trondheim,178021,907,41.79
Lao People's Democratic Republic,Luangphrabang,null,644,78.04
Greece,Kerkyra,null,2283,62.13
Bosnia and Herzegovina,Tuzla,131318,15,52.60
Myanmar,Coco-Island,null,2138,81.18
China,Shenyang,5303053,352,47.17
Australia,Innisfail,null,417,75.24
Australia,Inverell,null,418,60.28
Comoros,Moroni,30365,311,77.55
United States of America,Key West-Florida,null,777,77.78
Colombia,Providencia,null,881,82.04
Japan,Sendai,1096704,182,54.71
Russian Federation,Ordzhonikedzevskaja,null,1036,50.72
Australia,Darwin,82030,322,82.01
Australia,Griffith,null,410,62.97
Morocco,Marrakech,null,180,69.12
United States of America,Missoula-Montana,null,2007,45.60
Germany,Berlin,3644826,59,49.32
Viet Nam,Nha Trang,null,3027,81.40
Venezuela-Bolivarian Republic of,Maturin,571276,2060,80.95
Egypt,Asswan,null,1272,79.44
Morocco,Tanger,null,3521,65.01
Egypt,Sharm El-Sheikh,null,1269,78.67
Brazil,Recife,1537704,1078,77.89
Russian Federation,Irkutsk,601993,662,33.15
Suriname,Sipaliwini,null,2088,78.53
United States of America,Birmingham-Alabama,197575,723,63.22
Venezuela-Bolivarian Republic of,Coro,199603,1196,84.29
United Kingdom of Great Britain and Northern Ireland,Plymouth,234982,1906,51.88
Russian Federation,Birobidzan,null,1047,31.95
Germany,Hamburg,1841179,55,48.18
Ghana,Yendi,null,1385,82.75
Viet Nam,Hanoi,null,308,76.22
Panama,Anton,null,1244,81.77
China,Liuzhou,1220392,1844,69.60
Colombia,Armenia,275641,868,71.69
Ukraine,Simferopol,356771,2938,52.66
Russian Federation,Tver',null,984,39.44
Egypt,Cairo,9539673,248,72.08
Eswatini,Mbabane,null,912,61.67
Mexico,Cuernavaca,1051220,1281,69.40
Guyana,Timehri,null,1497,79.20
Sri Lanka,Batticaloa,null,339,81.98
Romania,Botosani,113107,2090,49.81
Zimbabwe,Kariba,null,966,76.05
Canada,Medicine Hat-Alberta,null,626,42.18
Australia,Dalby,null,392,66.91
Australia,Armidale,null,358,55.67
Australia,Bridgetown,null,372,59.27
Australia,Mandurah,null,446,63.90
Burkina Faso,Gaoua,null,1531,81.82
Iraq,Nasiriya,null,1468,77.13
Malaysia,Kuching,null,80,81.26
Russian Federation,Nal'cik,null,1034,49.49
United States of America,Roanoke-Virginia,100011,817,55.89
Netherlands,De Bilt,null,144,49.42
Chile,Puerto Montt,246497,104,51.10
Benin,Ouidah,null,2213,80.43
Australia,Kurnell,null,515,63.75
Israel,Haifa,284526,1931,67.18
Mexico,Cozumel,null,1280,79.70
Senegal,Kaolack,410577,2920,84.86
Iran (Islamic Republic of),Mashhad,3001184,938,56.74
Russian Federation,Murmansk,303754,967,32.28
Uganda,Masindi,null,1939,72.07
Ghana,Kumasi,1730249,922,80.06
Iran (Islamic Republic of),Ghom,null,1448,64.05
Norway,Bergen,265857,22,46.11
Italy,Milan (MILANO),null,603,55.38
Zimbabwe,Plumtree,null,960,67.98
Türkiye,Istanbul,null,47,57.88
Russian Federation,Petropavlovsk-Kamca,null,665,34.52
Türkiye,Erzurum,null,53,42.34
Senegal,Kolda,null,2922,83.11
Cameroon,Douala,1907479,1513,80.49
United States of America,Flagstaff-Arizona,null,757,46.22
Ireland,Cork,124391,328,49.84
Russian Federation,Joskar-Ola,null,985,37.70
Maldives,Gan -Addu Atoll,null,589,81.83
Mongolia,ZamiinUud,null,1158,40.11
Spain,Huesca,null,1772,57.51
United States of America,Cincinnati-Ohio,308935,737,54.24
Nepal,Bhairahwa,null,2959,76.63
Mongolia,Dalanzadgad,null,1155,41.93
Libya (State of),Tripoli,null,1179,68.89
Guyana,Kamarang,null,1492,75.38
Iran (Islamic Republic of),Ardabil,529374,1444,48.28
Ukraine,Kherson,324888,2940,52.02
Colombia,Palmira,302642,1646,75.44
Australia,Ballarat,111361,362,53.93
Mozambique,Lichinga,null,119,65.80
Slovenia,Maribor,111142,1923,50.82
Zimbabwe,Rusape,null,959,63.73
Ireland,Dublin,544107,188,49.82
Australia,Bairnsdale,null,361,57.58
Antigua and Barbuda,St. John's Antigua,null,151,80.11
Argentina,Buenos Aires,15567820,294,64.74
Argentina,Cordoba,1573230,855,63.86
Russian Federation,Palana,null,1046,26.60
Nigeria,Ilorin,532089,3506,80.43
Ireland,Kerry,null,1914,51.66
Suriname,Paramaribo,240924,1048,82.10
United States of America,Grand Island-Nebraska,null,1981,50.74
United Kingdom of Great Britain and Northern Ireland,Reading,218705,1907,51.03
Mexico,Saltillo,1080679,1296,64.76
Canada,Saint John NB-New Brunswick,null,641,41.02
Hungary,Bekescsaba,null,3010,51.67
United States of America,Tuscaloosa-Alabama,100618,2042,64.95
Slovenia,Portoroz,null,1925,55.70
Spain,Malaga,577932,1235,65.25
Viet Nam,Buon Me Thuot,null,3029,77.38
Uzbekistan,Samarkand,551746,116,57.01
Australia,Mornington Peninsula,null,458,58.06
Australia,Morawa,null,456,68.52
Madagascar,Antsirabe,245592,2997,63.50
Greece,Tripolis,null,2290,56.05
Colombia,Leticia,null,874,79.42
Estonia,Tallinn,437980,149,42.06
United States of America,Corpus Christi-Texas,317773,744,72.13
Russian Federation,Ivanovo,408952,983,38.58
Senegal,Matam,null,2925,86.75
United States of America,Knoxville-Tennessee,192648,778,57.74
Honduras,Tegucigalpa,996658,283,72.18
Spain,Jaen,112344,1773,62.67
United States of America,Tacoma-Washington,219205,2040,53.44
United Kingdom of Great Britain and Northern Ireland,Londonderry (Derry),null,1905,49.45
Romania,Arad,162984,2089,52.12
Australia,Norfolk Island,null,471,65.94
United Kingdom of Great Britain and Northern Ireland,Birmingham,1085810,28,49.53
Ghana,Tamale,223252,1384,83.47
United States of America,Joliet-Illinois,150372,1989,50.45
Saudi Arabia,Yanbu,null,1892,82.40
Botswana,Ghanzi,null,1546,70.60
Republic of Korea,Gangneung,228232,333,55.64
Ghana,Bolgatanga,null,2970,84.10
Mongolia,Zuunmod,null,1147,31.10
Poland,Krakow,777520,27,47.58
Maldives,Hanimaadhoo,null,2882,82.95
China,Taiyuan,2558382,549,50.21
Australia,Winton,null,509,76.90
Australia,Gympie,null,411,68.82
China,Jingzhou,1177150,1877,62.48
Italy,Agrigento,null,2069,63.59
United States of America,Duluth-Minnesota,null,749,39.56
United States of America,Albany-New York,null,712,48.22
Indonesia,Lombok,null,654,80.11
Spain,Palencia,null,1782,51.45
Sri Lanka,Nuwara Eliya,null,343,60.54
Canada,Kamloops-British Columbia,101603,617,47.95
Russian Federation,Aginskoe,null,1014,29.75
Spain,Marbella,147795,2187,64.58
China,Kunming,3035406,238,59.32
Myanmar,Kengtung,null,2145,73.84
United States of America,Youngstown-Ohio,null,847,48.99
Brazil,Campo Grande,774202,1064,73.98
Sweden,Gothenburg,null,1042,48.14
United States of America,Worcester-Massachusetts,205918,2046,47.77
Kenya,Nakuru,570614,518,63.85
United States of America,Minot-North Dakota,null,2006,41.98
Spain,Mao-Mahon,null,2901,63.02
Spain,Ourense,105119,1780,58.80
Russian Federation,Hakasskaja,null,1010,34.50
France,Bordeaux,249712,1050,55.90
United Kingdom of Great Britain and Northern Ireland,London,8135667,32,52.82
United States of America,North Platte-Nebraska,null,798,48.68
Russian Federation,Nar'jan-Mar,null,970,25.42
Japan,Tokyo,9733276,183,61.60
Myanmar,Meiktila,null,2147,81.13
Israel,Zefat,null,1935,62.52
Cambodia,Phnom Penh -Pochentong,null,348,82.73
Australia,Ross,null,1728,52.89
Germany,Magdeburg,238697,1351,48.78
Thailand,Phuket,358159,579,83.08
China,Beijing,19612368,237,53.74
Italy,Cagliari,150288,601,62.06
Hungary,Nyiregyhaza,116684,3013,50.55
United States of America,Waterloo-Iowa,null,2043,47.81
United States of America,Yuma-Arizona,null,848,75.90
Mali,Bamako,1810366,129,82.73
Myanmar,Mindat,null,2148,67.94
United States of America,Medford-Oregon,null,789,55.56
Türkiye,Adana,null,50,66.95
Bangladesh,Dhaka,8906035,1163,78.92
Australia,Moranbah,null,455,73.80
Australia,Narrabri,null,1316,66.06
Zimbabwe,Chipinge,null,964,66.14
Madagascar,Toamasina,326286,8,75.30
Bahamas,Nassau,266100,97,76.62
Mexico,Guadalajara,5436332,1206,70.19
Mongolia,Tsetserleg,null,1142,34.69
Spain,Girona,102650,1768,58.53
Brazil,Sao Paulo,105269,1083,68.33
Bosnia and Herzegovina,Banja Luka,195692,16,51.45
Australia,Karratha,null,423,79.83
Australia,Castlemaine,null,1663,56.65
Australia,Currie,null,1670,56.01
Viet Nam,Ca Mau,null,3030,83.03
Colombia,Buenaventura,258445,1642,79.10
Ethiopia,Mekele,null,167,66.21
Venezuela-Bolivarian Republic of,Cd. Bolivar,null,1202,83.30
Nepal,Dipayal,null,2103,73.20
United States of America,Hilo-Hawaii,null,1985,73.84
South Africa,Nelspruit,null,2988,67.07
Australia,Wangaratta,null,505,58.61
Brazil,Curitiba,1751907,1066,63.52
Jordan,Amman,4007526,215,63.27
Australia,George Town,null,1675,56.35
Australia,Norseman,null,1252,63.99
Australia,Orford,null,1714,54.89
Israel,Nazareth,null,1934,66.84
Viet Nam,Hai Phong,null,3024,75.55
Italy,Palermo,642653,605,64.86
Bhutan,Wangdi Phodrang,null,1274,67.63
Brazil,Macapa,369287,1071,80.60
Indonesia,Jakarta,10562088,310,83.08
Iran (Islamic Republic of),Bandarabbas,null,943,80.44
Burkina Faso,Boromo,null,1527,82.84
Nepal,Biratnagar,201125,2960,76.28
United States of America,Juneau-Alaska,null,775,43.48
Greece,Athens,null,177,63.37
Russian Federation,Habarovsk,null,663,35.92
United Kingdom of Great Britain and Northern Ireland,Liverpool,552267,1904,50.26
United States of America,Macon-Georgia,null,787,64.49
Spain,Eivissa,null,2181,64.88
United States of America,Cleveland-Mississippi,367991,1971,63.03
Sri Lanka,Jaffna,null,341,82.51
Panama,Panama City,null,1221,80.44
United States of America,Goodland-Kansas,null,762,51.30
Zimbabwe,Gokwe,null,955,68.93
Ethiopia,Lalibela,null,1922,64.96
Azerbaijan,Ganja,334813,19,56.38
United States of America,Phoenix-Arizona,1624569,806,75.05
Guatemala,Guatemala City,null,906,67.73
Russian Federation,Kaluga,344766,990,39.99
Botswana,Sir Seretse Khama Airport,null,1547,69.47
Canada,Red Deer-Alberta,105415,624,36.23
Dominican Republic,Santiago,null,598,78.57
South Africa,Pretoria,741651,2991,65.66
Ghana,Akim Oda,null,2967,80.95
Guinea,Conakry,1879695,245,80.97
Ukraine,Odesa,null,2937,52.66
