country,city,population,id,avg-temp
United Kingdom of Great Britain and Northern Ireland,Southampton,253651,1909,52.47
Spain,Jerez de la Frontera,212953,2186,64.61
Syrian Arab Republic,Palmyra,null,1264,66.33
Venezuela-Bolivarian Republic of,San Fernando,null,1203,82.08
Sudan,Nyala,null,1539,81.98
Italy,Alghero,null,2070,60.64
Mozambique,Beira,397368,124,75.99
Serbia,Novi Sad,362675,1390,52.00
Russian Federation,Tambov,281348,997,42.04
Colombia,Bogota,null,157,53.09
Libya (State of),Benghazi,null,1182,68.25
United States of America,Reno-Nevada,268851,815,52.87
United States of America,Tampa-Florida,387050,853,73.37
Myanmar,Homalin,null,2141,76.00
United Kingdom of Great Britain and Northern Ireland,Hamilton,null,1377,71.60
France,Ajaccio,null,1753,59.05
Mongolia,Baruun-Urt,null,1153,35.03
United Republic of Tanzania,Mwanza,2772509,669,72.98
Belgium,Virton,null,947,48.70
Australia,Onslow,null,1216,77.49
United States of America,Newark-New Jersey,307220,796,54.81
Spain,Madrid,3320069,195,59.07
United Republic of Tanzania,Tabora,null,670,74.26
Guinea,N'Zerekore,null,934,76.03
Indonesia,Pontianak,234021,653,81.98
Mongolia,Khanbogd,null,1156,46.08
Lao People's Democratic Republic,Savannakhet,null,645,79.05
Canada,Saskatoon-Saskatchewan,282227,628,35.99
Democratic People's Republic of Korea,Pyongyang,2581076,230,51.14
Iraq,Karbala,null,1465,75.33
United Kingdom of Great Britain and Northern Ireland,Cardiff,335145,36,51.48
Iran (Islamic Republic of),Ghazvin,null,1447,57.07
Russian Federation,Izhevsk,631182,1002,36.84
Dominican Republic,Barahona,null,592,79.59
Guinea,Faranah,null,930,77.44
Syrian Arab Republic,Dara'a,null,1266,63.44
United States of America,Washington DC,670050,270,55.20
Costa Rica,Puntarenas,143875,1128,82.20
Argentina,El Calafate,null,2205,44.03
Australia,Nhulunbuy,null,469,79.85
United States of America,Salem-Oregon,177723,822,52.99
Malawi,Mzuzu,null,262,64.73
Romania,Rm. Valcea,null,2095,52.55
Bahrain,Bahrain/Manama,null,220,79.75
United States of America,Caribou-Maine,null,730,39.73
Sudan,Khartoum,null,249,85.86
Czechia,Pilsen,175219,2161,48.73
Myanmar,Thandwe,null,2159,78.92
China,Yichang,712738,1867,63.25
Australia,Longreach,null,441,74.85
Germany,Frankfurt,null,57,50.12
Croatia,Zagreb,790017,70,50.98
Greece,Larissa,144651,2284,59.03
Australia,Victor Harbor,null,503,60.45
Luxembourg,Luxembourg,null,192,48.82
Ukraine,Dnipro,null,2934,49.70
Mongolia,Choir,null,1150,34.69
Russian Federation,Vologda,313679,980,36.97
Slovakia,Tisinec,null,1229,48.54
United States of America,Columbia-Missouri,104681,1973,55.90
El Salvador,Acajutla,null,1187,82.45
Republic of Moldova,Chisinau,339079,208,49.93
Mexico,Veracruz,962097,1302,77.38
Venezuela-Bolivarian Republic of,Margarita,null,1200,82.31
Syrian Arab Republic,Damascus,null,213,62.08
United States of America,Erie-Pennsylvania,101047,752,49.79
Bangladesh,Khulna,664728,1167,79.41
Burundi,Muyinga,null,1522,67.88
France,Nice,342522,902,60.04
Suriname,Stoelmanseiland,null,2087,80.49
Lao People's Democratic Republic,Luangnamtha,null,1501,75.54
Russian Federation,Azov,null,1023,50.45
United States of America,Denver-Colorado,711463,271,50.40
Indonesia,Ambon,331254,655,80.11
Australia,Wynyard,null,1749,53.73
Australia,Ceduna,null,380,62.84
Australia,Fingal,null,1811,52.72
United States of America,Nashville-Tennessee,678851,794,59.31
Kenya,Mombasa,1208112,520,79.31
Senegal,Saint-Louis,null,2928,79.53
Madagascar,Ambohitsilaozana,null,2995,70.90
Australia,Melbourne,183756,301,60.68
Malaysia,Pulau Pinang,null,89,81.74
Türkiye,Sanliurfa,null,1368,64.90
Romania,Craiova,293567,2093,52.92
Brazil,Rio Branco,308545,1079,79.38
Australia,Albany,null,356,59.75
Australia,Kalgoorlie,null,422,65.66
Australia,Yass,null,1751,57.44
Colombia,Puerto Carreno,null,882,83.25
Saudi Arabia,Al-Baha,null,862,73.67
Cameroon,Bamenda,269530,1516,67.85
Mexico,Morelia,1024898,1292,65.58
Spain,Burgos,175234,1759,51.82
Ethiopia,Gondar,null,1921,67.88
Lesotho,Oxbow,null,1336,46.12
Australia,Newcastle,167363,319,64.32
United States of America,Tallahassee-Florida,197102,837,67.66
Ukraine,Kharkiv,1430515,2936,47.77
Ukraine,Kyiv,2893215,207,48.76
Canada,Fredericton-New Brunswick,null,636,41.59
Greece,Souda (Chania),null,2288,64.28
Croatia,Osijek,108048,71,52.00
Australia,Dalwallinu,null,684,66.47
Mozambique,Quelimane,150116,122,77.08
China,Xiamen,2053070,563,70.28
Colombia,Popayan,277270,880,65.90
Cameroon,Garoua,235996,1515,83.22
Canada,Sudbury-Ontario,null,632,38.63
Spain,Murcia,459876,1779,65.64
Colombia,Barrancabermeja,199564,869,81.72
Oman,Masirah,null,1408,80.46
Ghana,Wa,null,1387,82.81
Bhutan,Thimphu,114551,2956,59.03
Türkiye,Izmir,null,49,64.10
Lithuania,Siauliai,null,1548,44.59
Oman,Muscat (Seeb),null,112,83.19
United States of America,Fort Smith-Arkansas,null,759,61.65
United States of America,Portland-Oregon,641162,810,54.38
Curaçao and Sint Maarten,Oranjestad,null,1829,83.64
United States of America,San Juan-Puerto Rico,342259,850,81.03
Greece,Athinai Hellinikon (South Attica),null,2276,64.70
Burkina Faso,Po,null,1534,82.54
Australia,Kingaroy,null,429,64.49
Australia,Leonora,null,1259,69.60
Australia,Manjimup,null,447,59.58
Mexico,Manzanillo,176221,1288,79.90
North Macedonia,Skopje,546824,199,53.70
Russian Federation,Turocak,null,1030,35.52
Thailand,Kanchanaburi,292521,574,83.80
United Kingdom of Great Britain and Northern Ireland,Exeter,106772,34,51.39
United Kingdom of Great Britain and Northern Ireland,Inverness,null,1903,48.18
Spain,Elche/Elx,234485,2182,65.83
Madagascar,Antalaha,null,2996,76.90
Brazil,Sao Luis,958545,1082,80.13
United States of America,Louisville-Kentucky,616261,785,58.10
France,Toulouse,471941,1058,55.96
Iran (Islamic Republic of),Tehran,8693706,218,62.77
China,Lhasa,null,236,46.51
Australia,Nhill,null,1711,58.61
Russian Federation,Kyzyl,112659,1031,28.10
United States of America,Asheville-North Carolina,null,717,56.43
Madagascar,Mahanoro,null,3001,74.98
France,Lyon,513275,1054,53.40
India,Tiruchirapalli,null,1626,82.28
Republic of Moldova,Tiraspol,null,1425,50.27
Italy,Genova,566081,1948,60.34
Mexico,Puerto Vallarta,502904,1205,78.15
United Republic of Tanzania,Mtwara,null,668,77.88
Spain,Plasencia,null,2190,61.46
Madagascar,Nosy Be,null,3004,79.38
China,Harbin,null,540,39.07
United States of America,San Antonio-Texas,1451853,825,69.41
Ghana,Cape Coast,null,1380,81.14
United States of America,Milwaukee-Wisconsin,569330,791,47.75
China,Nanjing,3624234,350,60.36
Bhutan,Samtse,null,2955,73.81
Brazil,Vitoria,211529,1085,76.78
Lesotho,Quthing,null,1333,60.43
Oman,Suwiq,null,1420,79.71
Malaysia,Cameron Highlands,null,76,65.74
Italy,Rome (ROMA),null,201,59.37
Türkiye,Zonguldak,null,1371,56.48
Türkiye,Antalya,null,51,65.78
South Africa,Bloemfontein,350504,2984,60.99
United States of America,Wichita-Kansas,395699,851,56.93
Spain,Vitoria-Gasteiz,253544,1792,53.23
Australia,Tibooburra,null,1738,70.01
Australia,Lord Howe Island,null,442,67.14
Botswana,Francistown,98961,1543,69.66
Colombia,Apartado,113469,866,80.85
Iran (Islamic Republic of),Ahwaz,1184788,939,76.87
Uzbekistan,Termez,182776,117,63.26
Spain,Las Palmas de Gran Canaria,379949,1234,70.00
United States of America,Fresno-California,544510,761,64.32
Japan,Naha,317625,186,73.87
Mexico,Leon,1996647,1287,67.24
Russian Federation,Maikop,167281,1032,53.23
France,Clermont Ferrand,null,1052,52.17
Lesotho,Mokhotlong,null,1335,55.44
Mongolia,Baganuur district,null,1132,28.70
Serbia,Pristina,null,1391,50.01
Venezuela-Bolivarian Republic of,San Antonio Del Tachira,null,2063,80.32
Russian Federation,Vladivostok,624281,664,40.78
Spain,Alicante/Alacant,337393,1754,64.84
United States of America,Nampa-Idaho,106186,2010,51.51
Mongolia,Erdenet,null,1149,30.53
Nepal,Dadeldhura,null,3508,61.74
China,Shenzhen,7008831,1854,73.61
Azerbaijan,Baku,2285273,18,59.09
Botswana,Kasane,null,1545,73.91
Mongolia,Khatgal,null,1141,25.33
United States of America,Yakima-Washington,null,846,49.66
Guyana,Mabaruma,null,1495,78.79
Australia,Pirlangimpi,null,1717,81.02
China,Changchun,3225557,541,41.84
United States of America,Jefferson City-Missouri,null,1988,55.18
Oman,Salalah,339040,113,79.64
Republic of Korea,Seoul,9601693,231,54.58
United States of America,Helena-Montana,null,769,45.36
United States of America,Owensboro-Kentucky,null,2020,59.11
Australia,Warracknabeal,null,1745,59.96
Germany,Kassel,201585,1348,48.41
Australia,Sorell,null,1822,55.34
Australia,Bundaberg,null,376,71.30
Rwanda,Musanze,null,1507,63.92
Spain,Cadiz,114841,1761,65.59
United States of America,Aurora-Illinois,389347,1960,50.09
United States of America,Buffalo-New York,276807,728,48.24
Saudi Arabia,Madinah,null,695,83.63
Spain,Valverde,null,2199,70.20
Papua New Guinea,Kavieng,null,1428,80.88
United States of America,Lake Charles-Louisiana,null,779,68.54
Australia,Cobar,null,385,66.39
Australia,Lake St Clair,null,1688,46.19
Canada,Goose Bay-Newfoundland,null,640,31.04
Mexico,Reynosa,null,1295,74.82
Israel,Beer Sheva,null,1930,69.36
Kyrgyzstan,Osh,298454,2172,52.40
Russian Federation,Elista,108753,1025,49.42
Ukraine,Lviv,750044,2935,47.38
Italy,Reggio Calabria,null,2076,64.51
Nigeria,Abuja,107069,324,79.90
Myanmar,Hpa-an,421575,2142,83.54
United States of America,Chandler-Arizona,279458,1969,70.75
Italy,Catania,298311,2071,63.78
Bosnia and Herzegovina,Mostar,126628,14,60.71
China,Shijiazhuang,1969975,550,56.25
China,Shangqiu,1428983,1851,58.36
Solomon Islands,Auki,null,295,79.94
Greece,Alexandroupoli,null,2274,57.40
Australia,Northam,null,472,64.80
Brazil,Brasilia,2481272,290,70.44
China,Yushu,1155670,1868,39.56
Brazil,Salvador,2674923,1081,77.85
Mongolia,Uliastai,null,1135,29.67
France,Nantes,303382,1056,53.93
Finland,Rovaniemi,null,172,33.07
Iran (Islamic Republic of),Tabriz,1558693,937,54.03
United States of America,Lansing-Michigan,112684,780,48.65
Spain,Santander,172798,1786,58.06
Ghana,Accra,1594419,921,81.66
Suriname,Kwamalasemoetoe,null,2083,79.57
Italy,Bolzano,107655,1945,53.36
Madagascar,Sainte Marie,null,3006,76.83
United Republic of Tanzania,Zanzibar,1303569,672,79.29
Nigeria,Maiduguri,618278,3507,82.53
France,Brest,139163,1051,52.20
Australia,Sale,null,490,57.27
Greece,Kalamata,null,2280,62.93
United States of America,Grand Junction-Colorado,null,763,52.61
Italy,Naples (NAPOLI),null,604,60.65
Sri Lanka,Mannar,null,1059,82.43
United States of America,Portland-Maine,641162,809,46.40
Germany,Nuernberg,null,1352,48.31
Iran (Islamic Republic of),Kerman,537718,941,59.58
Spain,Bilbao,348294,1233,58.45
Spain,Lugo,null,1777,53.30
United States of America,Colorado Springs-Colorado,483956,739,48.91
South Africa,Port Elizabeth,775255,2990,64.22
Uzbekistan,Nukus,321152,118,54.11
Mali,Kayes,149129,130,84.98
Serbia,Belgrade,null,198,53.96
Iceland,Reykjavik,129964,189,39.98
Mongolia,Khovd,null,1137,34.23
Russian Federation,Novgorod,null,657,39.83
Colombia,Cucuta,629414,871,80.87
Colombia,Neiva,314526,877,81.83
Mexico,Tampico,941957,1298,76.29
Spain,Vigo,295264,2200,57.20
Iran (Islamic Republic of),Khoramabad,373416,1453,63.10
United States of America,Honolulu-Hawaii,null,849,77.65
Zimbabwe,Marondera,null,958,63.04
Australia,Redesdale,null,1723,56.68
Australia,Charters Towers,null,382,75.21
Australia,Bridport,null,1658,55.82
Argentina,Mendoza,1033390,856,63.45
Australia,Cocos Island,null,683,80.53
Madagascar,Mananjary,null,3003,74.83
Russian Federation,Omsk,1158627,660,34.76
United States of America,Amarillo-Texas,201234,715,57.30
United Kingdom of Great Britain and Northern Ireland,Rhayader,null,1908,48.54
United States of America,Memphis-Tennessee,628127,790,60.83
China,Xi'an,4481508,239,57.19
Libya (State of),Ghadames,null,1194,71.06
Mongolia,Govi-Altai,null,1138,30.53
Papua New Guinea,Daru,null,1426,80.69
Colombia,Valledupar,459349,889,84.23
Canada,Thunder Bay-Ontario,125247,631,36.43
Canada,Toronto-Ontario,2974293,264,48.42
Zimbabwe,Harare,1485231,263,66.01
United States of America,Spokane-Washington,229071,833,48.08
Poland,Torun,198628,2170,47.38
Portugal,Funchal,111541,5,65.65
Japan,Osaka,2752412,184,62.94
Madagascar,Fianarantsoa,189879,12,66.78
Nepal,Okhaldhunga,null,2965,63.25
Venezuela-Bolivarian Republic of,Maracaibo,1653215,1197,84.02
Spain,Sevilla,687814,1237,66.80
United States of America,Athens-Georgia,127358,1957,62.50
Malaysia,Labuan,null,84,82.31
Sweden,Umea,111503,3022,38.61
China,Yinchuan,807487,544,48.40
United Kingdom of Great Britain and Northern Ireland,Wick,null,1913,46.26
United States of America,Des Moines-Iowa,212031,748,50.81
Myanmar,Yay,null,2160,79.03
Thailand,Bangkok,8305218,233,83.13
United States of America,Provo-Utah,114084,2024,53.34
Cyprus,Nicosia,null,1441,68.18
Egypt,Hurghada,null,1270,75.79
Slovakia,Poprad,null,1227,44.73
United States of America,Wilkes Barre-Pennsylvania,null,845,49.34
Colombia,Arauca,null,867,80.26
Bhutan,Trashigang,null,2957,61.18
Colombia,Cali,1822869,158,75.83
Spain,Santiago de Compostela,null,2196,55.26
Thailand,Nakhon Ratchasima,653075,573,81.79
Russian Federation,Ust'ordynskiy,null,1011,29.07
Spain,Oviedo,218731,1781,55.83
Colombia,Ibague,500686,873,83.00
Colombia,Tunja,167991,887,55.79
Canada,St Johns-Newfoundland,null,642,40.40
Mexico,Torreon,608836,1301,71.72
Ghana,Takoradi,97352,1379,80.36
United States of America,Keene-New Hampshire,null,1995,45.88
United States of America,Sioux City-Iowa,null,830,48.46
United States of America,Olympia-Washington,null,2019,50.48
Burkina Faso,Ouahigouya,124587,1533,84.38
Australia,Glen Innes,null,1319,57.71
Bahamas,Freeport,null,1633,75.70
Dominican Republic,Santo Domingo,965040,281,78.72
Ethiopia,Awassa,null,163,67.79
Burundi,Musasa,null,1523,70.78
Italy,Torino,858057,1952,53.65
Sudan,Dongola,null,1536,85.86
United States of America,San Francisco-California,815201,272,57.33
Iran (Islamic Republic of),Bojnoord,null,1446,55.93
Australia,Brisbane Airport,null,2068,68.83
United States of America,Napa-California,null,2011,56.38
Colombia,Cartagena,887946,161,82.40
Senegal,Dakar,1056009,244,76.53
United States of America,Gillette-Wyoming,null,1979,46.11
Russian Federation,Penza,519948,998,41.35
Spain,Huelva,143187,1771,64.64
United States of America,Charleston-West Virginia,151612,733,55.64
United States of America,Grand Rapids-Michigan,197416,764,49.03
Uganda,Mbarara,195160,1940,68.52
Norway,Tromsoe,null,23,36.62
Paraguay,Pedro Juan Caballero,null,1176,71.51
Hungary,Budapest,1737026,60,52.25
Kenya,Makindu,null,1797,72.70
Costa Rica,Alajuela,321872,285,73.43
Australia,Meekatharra,null,451,72.75
Australia,Moorabbin,null,1696,58.73
Benin,Kandi,null,2210,82.05
Nigeria,Enugu,407756,3505,81.55
Suriname,Nieuw Nickerie,null,2085,80.44
Guinea,Labe,249515,927,71.22
Mexico,Toluca,2430360,1300,56.10
Poland,Bialystok,295092,2163,45.05
Mongolia,Ulaanbaatar,1618231,229,32.52
Spain,Melilla,null,1778,66.13
Bangladesh,Rajshahi,449756,1166,78.48
Ghana,Koforidua,122300,2975,80.77
United States of America,Augusta-Maine,201196,1959,45.61
Japan,Sapporo,1973395,181,48.31
Syrian Arab Republic,Deir Ezzor,null,1262,68.87
France,Marseille,861635,1055,59.12
Spain,Granada,232711,1769,59.67
Canada,Calgary-Alberta,1372178,622,39.30
Lao People's Democratic Republic,Xiengkhuang,null,1502,69.10
Spain,Cartagena,216236,2178,65.45
United States of America,San Diego-California,1381611,826,63.58
Spain,Leon,123039,1774,51.96
Russian Federation,Ekaterinburg,1420285,916,36.79
Finland,Tampere,241009,170,39.25
Australia,Dartmouth,null,1671,57.30
Australia,Geeveston,null,1813,52.84
Australia,Marble Bar,null,1251,82.04
Australia,Mount Field,null,1818,51.27
Australia,St Helens,null,494,55.29
Romania,Cluj-Napoca,303047,2091,48.55
United States of America,Rockford-Illinois,147711,819,49.13
Australia,Strahan Town,null,495,53.86
Senegal,Diourbel,279667,2917,82.72
Guinea,Mamou,null,926,74.72
Mali,Segou,133501,132,83.18
United States of America,Omaha-Nebraska,487300,800,49.53
Oman,Saiq,null,1416,65.28
Madagascar,Taolagnaro,null,3008,75.11
United Kingdom of Great Britain and Northern Ireland,Norwich,194839,40,50.16
Zimbabwe,Hwange,null,965,69.16
Spain,Motril,null,2189,66.14
Iran (Islamic Republic of),Yazd,529673,1461,64.67
Germany,Oberstdorf,null,1353,44.60
Australia,Gosford,null,407,63.21
Viet Nam,Pleiku,null,3028,74.01
Morocco,Agadir Inezganne,null,3512,67.08
Spain,Toledo,null,1791,60.40
Australia,Mount Barker,null,1699,58.11
Australia,Perth,30971,314,65.41
Mongolia,Mandalgovi,null,1154,36.73
Spain,Merida,null,2188,63.11
Russian Federation,Nevinnomyssk,117949,1033,49.88
Lesotho,Qacha's Nek,null,1334,57.56
Romania,Bucharest,null,200,52.09
United States of America,Richmond-Virginia,115639,816,58.82
Venezuela-Bolivarian Republic of,Santa Elena De Uairen,null,2064,71.95
Saudi Arabia,Abha,236157,861,66.16
Chile,Punta Arenas,136987,105,43.68
China,Sanya,482296,1850,79.36
Greece,Herakleion,null,2278,64.93
Serbia,Zlatibor,null,1392,45.36
Russian Federation,Cheljabinsk,null,1003,36.49
Russian Federation,Voronez,null,1020,43.25
Viet Nam,Ha Tinh,null,3025,77.31
China,Shantou,1270112,1852,71.47
United States of America,Sedona-Arizona,null,2036,61.98
Australia,Wagga Wagga,null,504,60.48
France,Paris,2206488,194,53.64
Côte d'Ivoire,Adiake,null,2877,78.65
Madagascar,Farafangana,null,3000,74.35
Saudi Arabia,Hail,null,863,71.65
United States of America,Columbus-Ohio,205617,742,53.34
Morocco,Rabat-Sale,null,3519,63.79
Sweden,Stockholm,789024,187,46.60
Saudi Arabia,Jizan,127743,698,87.22
Kazakhstan,Astana,1212077,153,35.25
United States of America,Wichita Falls-Texas,102988,844,63.31
Canada,Montreal-Quebec,1778528,634,40.97
Argentina,Salta,643924,2207,63.36
Armenia,Yerevan,1087886,66,53.3
Czechia,Prague,1335084,197,50.07
Venezuela-Bolivarian Republic of,Barquisimeto,881127,2054,77.03
Türkiye,Konya,null,1365,52.73
Australia,Darwin Rural,null,1086,80.62
Bangladesh,Sylhet,null,1165,76.80
Libya (State of),Sirte,null,1181,68.65
Russian Federation,Ufa,1084420,659,37.65
Namibia,Windhoek,429974,1830,67.71
Turkmenistan,Ashgabat,null,212,62.22
Germany,Hannover,538068,1347,48.62
Australia,Tuggeranong,null,1312,56.74
United States of America,Evansville-Indiana,116486,754,59.96
Myanmar,Katha,null,2144,77.17
United States of America,Salt Lake City-Utah,200478,823,52.70
Australia,Maryborough [VIC],null,1694,57.60
Australia,Maydena,null,1817,51.27
Mexico,Ciudad de Mexico,null,279,61.75
Libya (State of),Ghat,null,1180,74.85
Mexico,Jalapa,null,1286,67.69
Venezuela-Bolivarian Republic of,Mene Grande,null,2061,83.35
Sweden,Sundsvall,null,1044,39.93
Venezuela-Bolivarian Republic of,Calabozo,null,2055,83.49
Spain,Ecija,null,2180,63.70
Côte d'Ivoire,Bondoukou,null,2878,80.01
Russian Federation,Belgorod,369815,1021,44.00
Paraguay,Asuncion,513399,292,73.88
Cyprus,Polis Chrysochous,null,1885,67.25
Australia,Launceston,67449,435,55.15
Australia,Broome,null,374,80.23
Australia,Charleville,null,381,70.10
Russian Federation,Kostroma,270366,658,38.69
Nepal,Dhankuta,null,2102,66.83
Saudi Arabia,Sakaka,null,1890,71.56
Australia,Clermont,null,384,72.98
Australia,Moora,null,454,66.11
Saudi Arabia,Dammam,null,860,80.97
Spain,Pontevedra,null,1784,58.50
Ireland,Malin Head,null,331,49.67
United States of America,Fort Wayne-Indiana,265974,760,50.38
Zimbabwe,Bulawayo,653337,950,67.07
United States of America,Brookings-South Dakota,null,1964,43.12
United States of America,Nashua-New Hampshire,null,2013,48.07
Ethiopia,Dire Dawa,null,165,70.29
Ghana,Bole,null,2969,80.75
Mexico,Hermosillo,970861,1283,76.24
Iran (Islamic Republic of),Kermanshah,946651,1452,57.11
Australia,Bicheno,null,1804,56.53
Australia,Hobart,55250,316,55.52
Russian Federation,Salehard,null,971,20.12
Syrian Arab Republic,Lattakia,null,1263,67.22
Russian Federation,Brjansk,null,979,41.74
Russian Federation,Magadan,95263,918,26.47
Australia,Tullamarine,null,517,58.40
Italy,Pisa,null,2075,58.05
United States of America,Pueblo-Colorado,112368,812,53.65
Mexico,Tijuana,2252147,1299,64.48
Uzbekistan,Tashkent,2694378,115,58.45
Russian Federation,Kirov,505346,981,36.72
Nepal,Taplejung,null,3510,62.16
Ireland,Kilkenny,null,332,49.84
Russian Federation,Ulan-Ude,413850,1013,31.29
Russian Federation,Kudymkar,null,999,34.21
Spain,Puerto del Rosario,null,2192,69.90
United States of America,San Angelo-Texas,100702,824,65.43
Sri Lanka,Trincomalee,null,345,83.27
Canada,Vancouver-British Columbia,693235,266,50.13
Australia,Halls Creek,null,412,80.53
United States of America,Bozeman-Montana,null,1963,44.50
Zimbabwe,Karoi,null,957,67.37
Slovakia,Zilina,null,1223,48.43
Spain,Caceres,null,1760,61.35
Botswana,Maun,null,1544,73.56
Cyprus,Paralimni,null,1884,67.86
United Republic of Tanzania,Dar Es Salaam,4364541,252,78.46
Greece,Ioannina,null,2279,56.78
United States of America,Rochester-Minnesota,121465,2028,45.32
Rwanda,Kigali,859332,254,70.36
Spain,Gijon,270306,2184,56.84
United States of America,Sioux Falls-South Dakota,196528,831,45.65
Venezuela-Bolivarian Republic of,La Canada,null,2058,84.46
Jamaica,Montego Bay,111037,99,78.90
Ecuador,Guayaquil,2291158,2048,79.58
Myanmar,Pathein,287071,2152,81.48
El Salvador,Santa Ana,278743,1186,76.84
Australia,Katoomba,null,426,54.38
Australia,Kempsey,null,428,65.65
Myanmar,Kalewa,null,2143,78.60
Syrian Arab Republic,Qamishli,null,1265,66.14
United States of America,Seattle-Washington,733919,277,52.60
Lesotho,Teyateyaneng,null,1339,60.70
Zimbabwe,Mutare,262124,954,66.63
Papua New Guinea,Vanimo,null,1432,81.63
Austria,Innsbruck,132110,905,48.83
Rwanda,Rubavu,null,1510,68.45
Ukraine,Luhansk,null,2941,48.93
Iran (Islamic Republic of),Sanandaj,412767,1456,55.69
United States of America,Carson City-Nevada,null,1967,50.87
Iran (Islamic Republic of),Zanjan,430871,1462,51.76
China,Tianshui,1146986,1860,53.00
Australia,Port Augusta,null,479,66.45
Australia,Wudinna,null,1217,63.67
United States of America,Little Rock-Arkansas,201998,784,62.62
Colombia,Ipiales,105517,1644,51.45
Brazil,Fortaleza,862750,1068,80.03
Indonesia,Biak,null,652,80.14
China,Urumqi,1753298,543,45.52
Australia,Brisbane,1272999,320,70.46
Argentina,Iguazu,null,857,71.06
Australia,Devonport,null,394,54.55
Australia,Moree,null,457,67.00
Benin,Natitingou,null,2212,82.00
China,Qiqihaer,1540089,1848,39.52
Mozambique,Maputo,966837,128,73.19
Russian Federation,Saratov,838321,915,44.16
Brazil,Porto Alegre,1409351,1076,68.31
Burundi,Ngozi,null,1520,61.67
France,Strasbourg,277270,1057,50.80
United States of America,Flint-Michigan,101030,758,47.30
Hungary,Pecs,141040,64,52.22
Ukraine,Donetsk,null,2939,49.21
Russian Federation,Juzhno-Sahalinsk,null,1017,36.84
Eswatini,Manzini,null,913,68.16
Senegal,Cap Skirring,null,2916,79.26
China,Zhengzhou,2589387,552,58.25
Cuba,Havana,null,280,77.36
Belarus,Minsk,2020133,205,42.74
China,Chongqing,9691901,349,64.76
Israel,Eilat,null,46,77.79
Spain,Albacete,173529,1755,58.84
Spain,Santa Cruz De Tenerife,208878,304,70.71
United States of America,Racine-Wisconsin,null,2025,47.49
Romania,Sulina,null,2097,53.58
Cameroon,Bertoua,88462,1518,75.76
Dominican Republic,Puerto Plata,118496,595,77.08
